"","X.Clostridium..innocuum.group","X.Eubacterium..brachy.group","X.Eubacterium..eligens.group","X.Eubacterium..fissicatena.group","X.Eubacterium..hallii.group","X.Eubacterium..nodatum.group","X.Eubacterium..oxidoreducens.group","X.Eubacterium..ruminantium.group","X.Eubacterium..siraeum.group","X.Eubacterium..tenue.group","X.Eubacterium..ventriosum.group","X.Eubacterium..xylanophilum.group","X.Ruminococcus..gauvreauii.group","X.Ruminococcus..gnavus.group","X.Ruminococcus..torques.group","X28.4","Abiotrophia","Acetanaerobacterium","Acetatifactor","Acidaminococcus","Acidovorax","Acinetobacter","Actinobacillus","Actinomyces","Adlercreutzia","Aeromonas","Agathobacter","Akkermansia","Alcaligenes","Alcanivorax","Alistipes","Allisonella","Alloprevotella","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroplasma","Anaerostignum","Anaerostipes","Anaerotruncus","Anaerovorax","Angelakisella","Aquamonas","Asaccharobacter","Asaccharospora","ASF356","Asteroleplasma","Atopobium","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brevundimonas","Butyricicoccus","Butyricimonas","CAG.352","CAG.56","Calorithrix","Campylobacter","Candidatus.Profftella","Candidatus.Soleaferrea","Candidatus.Stoquefichus","Caproiciproducens","Catabacter","Catenibacillus","Catenibacterium","Catenisphaera","Christensenella","Christensenellaceae.R.7.group","Chryseobacterium","Citrobacter","Cloacibacillus","Clostridioides","Clostridium.sensu.stricto.1","Clostridium.sensu.stricto.2","Colidextribacter","Collinsella","Conservatibacter","Coprobacillus","Coprobacter","Coprococcus","Corynebacterium","Cronobacter","Cuneatibacter","Cutibacterium","Defluviitaleaceae.UCG.011","Delftia","Desulfovibrio","Dialister","Dielma","DNF00809","Dorea","DTU089","Eggerthella","Eisenbergiella","Elusimicrobium","Enterobacter","Enterococcus","Enterorhabdus","Enteroscipio","Epulopiscium","Erysipelatoclostridium","Erysipelotrichaceae.UCG.003","Escherichia.Shigella","Eubacterium","Ezakiella","F0332","Faecalibacterium","Faecalitalea","Family.XIII.AD3011.group","Family.XIII.UCG.001","Fenollaria","Finegoldia","Flavonifractor","Fournierella","Frisingicoccus","Fructilactobacillus","Fusicatenibacter","Fusobacterium","Gallicola","GCA.900066575","GCA.900066755","Gemella","Gordonibacter","Granulicatella","Haemophilus","Halomonas","Harryflintia","Helicobacter","Holdemanella","Holdemania","Holzapfelia","Howardella","HT002","Hungatella","Intestinibacter","Intestinimonas","Klebsiella","Kluyvera","Kosakonia","Lachnoclostridium","Lachnospira","Lachnospiraceae.AC2044.group","Lachnospiraceae.FCS020.group","Lachnospiraceae.NC2004.group","Lachnospiraceae.ND3007.group","Lachnospiraceae.NK4A136.group","Lachnospiraceae.NK4B4.group","Lachnospiraceae.UCG.001","Lachnospiraceae.UCG.003","Lachnospiraceae.UCG.004","Lachnospiraceae.UCG.008","Lachnospiraceae.UCG.009","Lachnospiraceae.UCG.010","Lacticaseibacillus","Lactiplantibacillus","Lactobacillus","Lactococcus","Lactonifactor","Latilactobacillus","Lautropia","Lawsonella","Leuconostoc","Libanicoccus","Ligilactobacillus","Limosilactobacillus","Mailhella","Mannheimia","Marvinbryantia","Megamonas","Megasphaera","Merdibacter","Methanobrevibacter","Mitsuokella","Mogibacterium","Monoglobus","Morganella","Moryella","Murdochiella","Muribaculum","Murimonas","Negativibacillus","Negativicoccus","Neisseria","NK4A214.group","Ochrobactrum","Odoribacter","Oerskovia","Olsenella","Oscillibacter","Oscillospira","Ottowia","Oxalobacter","Paeniclostridium","Paludicola","Papillibacter","Parabacteroides","Paraprevotella","Parasporobacterium","Parasutterella","Parvimonas","Paucibacter","Pectobacterium","Peptoclostridium","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phocea","Phyllobacterium","Porphyromonas","Prevotella","Prevotella_7","Prevotella_9","Prevotellaceae.NK3B31.group","Prevotellaceae.UCG.001","Proteus","Providencia","Pseudobutyrivibrio","Pseudoflavonifractor","Pseudomonas","Psychrobacter","Pyramidobacter","Ralstonia","Raoultella","Raoultibacter","Rhodococcus","Rikenellaceae.RC9.gut.group","Romboutsia","Roseburia","Rothia","Ruminiclostridium","Ruminococcus","S5.A14a","Salinibacter","Salmonella","Sarcina","Sellimonas","Senegalimassilia","Shuttleworthia","Slackia","Solobacterium","Staphylococcus","Stenotrophomonas","Stomatobaculum","Streptococcus","Subdoligranulum","Succinivibrio","Sutterella","Syntrophococcus","Tepidimonas","Terrisporobacter","Thermus","TM7x","Trabulsiella","Turicibacter","Tuzzerella","Tyzzerella","UBA1819","UC5.1.2E3","UCG.002","UCG.003","UCG.004","UCG.005","UCG.008","UCG.009","Uruburuella","Varibaculum","Veillonella","Victivallis","Weissella","status"
"ERR2672822",0,0,31,53,122,0,0,0,279,0,48,0,0,21,269,0,0,0,0,0,0,0,0,7,47,0,476,709,0,0,988,0,0,0,0,0,5,0,633,0,0,0,0,0,0,0,0,0,0,3266,788,1263,9,798,0,19,0,197,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,52,0,0,12,0,0,34,73,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,0,0,21,448,357,0,0,0,1565,0,23,6,0,0,10,0,0,0,109,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,10,0,0,0,0,9,0,0,0,0,0,198,0,61,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,37,0,36,0,0,14,0,0,0,0,0,0,369,0,0,0,0,0,0,0,4,0,0,7,0,0,0,19,461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,162,0,0,385,0,0,0,0,0,62,0,0,0,0,0,0,79,961,0,21,0,0,0,0,0,0,30,0,0,0,0,79,7,0,8,0,0,0,0,10,0,0,"ASD"
"ERR2672823",13,0,0,56,459,0,0,441,143,0,11,6,0,0,734,0,0,0,0,0,0,0,0,6,14,0,1068,0,0,0,90,0,0,0,0,0,0,0,141,0,0,0,0,0,0,0,0,0,0,867,46,9,7,1479,0,22,10,144,0,0,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,24,75,0,19,0,359,0,0,0,0,0,0,71,377,0,0,739,0,0,0,0,0,27,8,0,0,0,247,150,0,0,0,729,0,12,30,0,0,0,0,0,0,110,0,0,0,0,0,0,0,6,0,0,0,352,0,0,0,0,0,0,56,26,0,0,0,13,0,0,0,28,22,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,14,0,0,0,33,0,0,0,533,0,0,193,0,0,0,0,0,0,0,0,63,0,46,0,0,9,0,0,7,0,0,0,163,31,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,55,0,0,355,0,0,0,16,0,29,0,23,0,0,0,0,0,1066,0,13,0,0,0,0,0,0,0,0,3,14,0,481,13,0,49,0,0,0,0,9,0,0,"Control"
"ERR2672824",10,0,136,0,115,0,0,57,0,0,14,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,74,69,0,0,501,11,0,0,0,0,0,0,86,0,0,4,0,0,0,0,0,0,0,1098,0,64,12,339,0,23,0,13,53,0,0,0,0,0,0,0,0,8,0,0,209,0,57,0,0,100,0,9,24,0,0,0,57,0,0,0,0,0,0,111,638,0,0,36,0,0,0,0,0,0,61,0,0,0,79,37,0,0,0,590,0,0,29,0,0,0,0,0,0,32,0,0,0,0,0,0,0,6,0,0,0,153,0,0,0,0,12,125,0,0,0,0,10,9,9,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,110,0,31,0,0,11,11,0,17,0,0,0,556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,1112,23,84,0,0,1221,0,0,0,65,0,28,0,0,0,0,0,0,0,136,0,8,0,0,15,0,0,0,17,0,0,109,0,2990,30,5,374,0,0,0,0,8,0,0,"ASD"
"ERR2672825",0,0,45,0,73,0,0,62,7,0,100,10,23,0,107,0,0,0,0,0,0,0,0,0,0,0,1056,0,0,0,132,0,271,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,972,27,43,27,223,0,42,0,1723,0,0,0,0,7,0,0,0,0,0,0,0,16,0,0,0,0,350,0,9,4,0,0,0,152,0,0,0,0,0,0,0,4,0,0,467,0,0,0,0,0,0,0,0,0,0,36,11,0,0,0,852,0,11,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,145,0,0,0,0,8,0,8,0,0,0,236,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,271,0,0,0,0,0,0,0,0,69,0,13,0,0,7,0,0,0,0,0,0,8,465,0,25,0,0,0,0,0,0,0,222,0,0,0,635,117,3331,0,0,0,0,0,0,0,0,0,0,0,0,0,490,365,184,0,0,287,0,0,0,0,0,17,0,12,0,0,0,0,12,246,0,0,0,0,55,0,0,0,10,0,0,0,0,841,35,0,32,0,18,0,0,45,0,0,"ASD"
"ERR2672826",47,0,4,314,258,0,0,0,0,0,25,0,0,0,161,0,0,0,0,0,0,0,0,6,110,0,119,2298,0,0,149,0,0,0,0,0,0,0,782,0,0,0,0,0,0,0,0,0,0,334,58,231,0,438,0,0,0,80,0,0,0,0,10,0,0,0,0,0,0,0,29,0,0,0,0,61,0,0,446,0,0,0,149,0,0,0,0,0,0,17,305,0,0,193,0,54,0,0,0,0,0,0,0,30,794,0,0,0,0,37,0,83,0,0,0,0,0,0,0,22,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,47,126,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,233,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,54,0,0,29,0,0,0,144,0,0,0,0,0,0,0,0,61,177,0,0,0,0,0,0,0,0,0,0,0,83,0,303,0,0,266,0,6,0,0,0,0,0,"ASD"
"ERR2672827",0,0,16,0,280,0,0,0,5,0,0,11,53,0,474,0,0,0,0,0,0,0,0,0,0,0,184,153,0,0,13,0,0,0,0,0,0,0,909,0,0,0,0,0,0,0,0,0,0,286,0,1552,0,1553,0,32,0,39,9,0,0,0,0,0,0,0,0,0,5,0,590,0,0,9,0,15,0,11,294,0,0,0,101,0,0,0,0,0,0,89,1031,0,0,386,0,0,0,0,0,15,18,0,0,0,550,32,0,0,0,436,0,208,20,0,0,0,11,0,0,339,0,0,0,0,0,0,0,0,0,0,0,130,4,0,23,0,0,15,419,0,0,0,5,0,0,0,0,9,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,477,0,0,0,0,0,0,0,1683,0,0,27,0,0,0,0,0,0,0,0,236,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,610,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,45,109,171,0,0,482,0,0,0,0,0,60,0,12,0,0,0,0,0,858,0,0,0,0,17,0,0,0,3,0,0,95,0,336,0,0,125,0,0,0,0,0,0,0,"ASD"
"ERR2672828",9,0,0,25,137,0,0,0,0,0,0,0,125,88,83,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,0,0,0,0,3612,0,549,0,1027,0,170,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,551,0,0,36,0,0,0,0,0,0,0,0,0,0,0,891,0,0,169,0,43,0,0,0,0,0,0,0,126,290,118,0,0,0,3948,0,0,0,0,0,69,36,0,0,202,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,7,87,0,0,0,0,52,0,0,0,0,0,201,0,0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,5,0,0,0,0,0,0,0,0,0,0,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615,299,0,0,889,0,0,0,55,0,0,0,0,0,0,0,0,39,638,217,6,0,0,75,0,0,0,15,0,5,10,0,0,0,0,0,0,0,0,0,550,0,0,"Control"
"ERR2672829",117,41,0,82,1437,0,0,0,0,0,26,0,174,0,221,0,0,0,0,0,0,0,0,0,24,0,77,264,0,0,26,0,0,58,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,93,0,1932,3,1047,0,18,0,0,0,0,0,0,7,0,0,0,0,0,401,0,176,0,0,0,0,1744,0,14,192,0,0,0,352,0,0,0,0,0,0,0,22,0,0,745,0,90,0,0,0,0,0,0,0,12,8,71,0,0,0,155,0,62,15,8,0,0,0,0,0,128,0,0,0,0,9,59,0,0,0,0,0,0,0,0,0,0,24,1196,0,0,0,0,22,0,0,141,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,4,30,0,12,0,0,24,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,18,0,0,3569,0,0,0,0,383,0,0,323,4,0,0,0,707,675,0,0,0,0,67,0,0,0,226,0,0,20,0,70,5,0,130,0,0,0,0,0,0,0,"ASD"
"ERR2672830",0,0,91,0,172,0,0,517,0,0,0,0,58,0,158,0,0,0,0,0,0,3,0,0,0,0,787,5,0,0,536,0,128,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,2031,818,42,64,583,0,37,170,2255,0,0,0,0,14,0,0,0,0,0,0,0,47,0,9,0,0,9,0,8,0,0,0,6,192,0,0,0,0,0,0,80,562,0,0,388,0,0,0,0,0,31,0,0,0,0,25,351,0,0,0,1534,0,20,8,0,0,9,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,594,0,0,0,0,0,9,0,0,0,0,75,46,0,15,0,9,817,0,0,0,19,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,285,0,0,0,0,0,0,0,0,42,0,104,0,0,14,0,0,8,0,0,0,328,249,0,144,0,0,0,0,8,0,0,308,0,0,0,0,247,1263,0,0,0,0,0,0,0,0,0,0,0,3,0,0,16,107,0,0,1296,0,0,0,0,0,0,0,0,0,14,0,0,9,224,0,0,0,0,20,0,0,0,5,0,0,10,0,510,35,0,62,0,6,0,0,10,0,0,"Control"
"ERR2672831",0,0,0,0,40,0,0,33,0,0,22,0,29,0,164,0,0,0,0,0,0,0,0,0,0,0,180,74,0,0,2160,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,2138,563,0,39,189,0,44,7,0,0,0,0,0,0,0,0,0,0,32,0,0,42,0,0,0,0,8,0,0,55,0,0,0,392,0,0,0,0,0,0,63,19,0,0,499,0,0,0,0,0,0,36,0,0,0,40,20,0,0,0,796,0,10,7,0,0,0,0,0,0,74,0,0,0,0,0,0,0,16,0,0,0,10,0,0,17,0,0,0,0,13,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,298,0,0,0,0,0,0,0,0,176,0,125,0,0,7,0,0,9,0,0,0,2883,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,306,0,0,0,0,0,0,0,0,0,0,0,9,0,0,12,59,0,0,256,0,0,0,0,0,12,0,0,0,8,0,0,0,57,0,0,0,0,0,0,0,0,8,0,0,133,0,750,82,0,144,0,0,0,0,10,0,0,"ASD"
