"","X.Bacteroides..pectinophilus.group","X.Clostridium..innocuum.group","X.Eubacterium..brachy.group","X.Eubacterium..eligens.group","X.Eubacterium..fissicatena.group","X.Eubacterium..hallii.group","X.Eubacterium..nodatum.group","X.Eubacterium..oxidoreducens.group","X.Eubacterium..ruminantium.group","X.Eubacterium..siraeum.group","X.Eubacterium..ventriosum.group","X.Eubacterium..xylanophilum.group","X.Ruminococcus..gauvreauii.group","X.Ruminococcus..gnavus.group","X.Ruminococcus..torques.group","Acetanaerobacterium","Acetitomaculum","Acidaminococcus","Acidipropionibacterium","Acinetobacter","Actinomyces","Actinotignum","Adlercreutzia","Aerosphaera","Agathobacter","Akkermansia","Alistipes","Allisonella","Alloprevotella","Alloscardovia","Anaerococcus","Anaerofilum","Anaerofustis","Anaeroglobus","Anaeroplasma","Anaerosporobacter","Anaerostignum","Anaerostipes","Anaerotruncus","Anaerovorax","Angelakisella","Aquamonas","Asaccharobacter","Asaccharospora","Asteroleplasma","Atopobium","Bacillus","Bacteroides","Barnesiella","Bifidobacterium","Bilophila","Blautia","Brevibacterium","Burkholderia.Caballeronia.Paraburkholderia","Butyricicoccus","Butyricimonas","Butyrivibrio","CAG.352","CAG.56","CAG.873","Caldicoprobacter","Campylobacter","Candidatus.Soleaferrea","Candidatus.Stoquefichus","Caproiciproducens","Carnobacterium","Catabacter","Catenibacillus","Catenibacterium","Catenisphaera","CHKCI001","CHKCI002","Christensenella","Christensenellaceae.R.7.group","Citrobacter","Cloacibacillus","Clostridium.sensu.stricto.1","Clostridium.sensu.stricto.3","Colidextribacter","Collinsella","Conservatibacter","Coprobacillus","Coprobacter","Coprococcus","Coriobacteriaceae.UCG.002","Coriobacteriaceae.UCG.003","Corynebacterium","Cuneatibacter","Cutibacterium","Defluviitaleaceae.UCG.011","Delftia","Desulfovibrio","Dialister","Dielma","DNF00809","Dorea","DTU089","Eggerthella","Eisenbergiella","Elusimicrobium","Enorma","Enterobacter","Enterococcus","Enterorhabdus","Enteroscipio","Epulopiscium","Erysipelatoclostridium","Erysipelotrichaceae.UCG.003","Erysipelotrichaceae.UCG.006","Escherichia.Shigella","Eubacterium","Ezakiella","F0332","Faecalibacterium","Faecalicoccus","Faecalitalea","Family.XIII.AD3011.group","Family.XIII.UCG.001","Fastidiosipila","FD2005","Fenollaria","Finegoldia","Flavonifractor","Fournierella","Frisingicoccus","Fusicatenibacter","Fusobacterium","Gallicola","Gardnerella","GCA.900066575","GCA.900066755","Gemella","Gordonibacter","Granulicatella","Haemophilus","Hafnia.Obesumbacterium","Harryflintia","Holdemanella","Holdemania","Howardella","HT002","Hungatella","Intestinibacter","Intestinimonas","Jonquetella","Kandleria","Klebsiella","Lachnoclostridium","Lachnospira","Lachnospiraceae.AC2044.group","Lachnospiraceae.FCS020.group","Lachnospiraceae.FE2018.group","Lachnospiraceae.NC2004.group","Lachnospiraceae.ND3007.group","Lachnospiraceae.NK4A136.group","Lachnospiraceae.NK4B4.group","Lachnospiraceae.UCG.001","Lachnospiraceae.UCG.003","Lachnospiraceae.UCG.004","Lachnospiraceae.UCG.008","Lachnospiraceae.UCG.009","Lachnospiraceae.UCG.010","Lachnotalea","Lacticaseibacillus","Lactiplantibacillus","Lactobacillus","Lactococcus","Lactonifactor","Latilactobacillus","Lawsonella","Lentilactobacillus","Leuconostoc","Libanicoccus","Ligilactobacillus","Limosilactobacillus","Lysinibacillus","Mailhella","Marvinbryantia","Megamonas","Megasphaera","Merdibacter","Methanobrevibacter","Methanomassiliicoccus","Methanosphaera","Microbacterium","Mitsuokella","Mobiluncus","Mogibacterium","Monoglobus","Morganella","Murdochiella","Murimonas","Negativibacillus","Negativicoccus","NK4A214.group","Oceanobacillus","Odoribacter","Olsenella","Oribacterium","Oscillibacter","Oscillospira","Oxalobacter","Paenibacillus","Paludicola","Papillibacter","Parabacteroides","Paraprevotella","Parasporobacterium","Parasutterella","Parvibacter","Parvimonas","Pediococcus","Peptococcus","Peptoniphilus","Peptostreptococcus","Phascolarctobacterium","Phocea","Pluralibacter","Porphyromonas","Prevotella","Prevotella_7","Prevotella_9","Prevotellaceae.Ga6A1.group","Prevotellaceae.NK3B31.group","Prevotellaceae.UCG.001","Prevotellaceae.UCG.003","Propionibacterium","Proteus","Pseudoclavibacter","Pseudoflavonifractor","Pseudomonas","Pseudoscardovia","Pseudoxanthomonas","Pygmaiobacter","Pyramidobacter","Ralstonia","Raoultella","Raoultibacter","Rikenella","Rikenellaceae.RC9.gut.group","Romboutsia","Roseburia","Rothia","Ruminiclostridium","Ruminococcus","S5.A14a","Sanguibacteroides","Scardovia","Sellimonas","Senegalimassilia","Shuttleworthia","Slackia","Solibacillus","Solobacterium","Staphylococcus","Stenotrophomonas","Streptococcus","Streptomyces","Subdoligranulum","Sutterella","Synergistes","Terrisporobacter","TM7x","Turicibacter","Tuzzerella","Tyzzerella","UBA1819","UC5.1.2E3","UCG.002","UCG.003","UCG.004","UCG.005","UCG.007","UCG.008","UCG.009","V9D2013.group","Varibaculum","Veillonella","Victivallis","W5053","Weissella","status"
"ERR2730148",0,0,0,626,0,0,0,0,0,16,21,228,90,0,187,0,0,0,0,0,0,0,10,0,26216,0,2380,0,0,0,0,13,0,0,0,0,0,75,12,0,0,0,0,0,11,0,0,1418,2463,5166,108,2527,0,0,308,268,0,0,217,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10042,0,0,0,0,298,91,0,0,0,5236,0,0,0,0,0,129,0,0,1693,0,0,276,28,0,0,0,0,0,0,0,0,0,0,137,0,137,0,11,0,19501,0,0,62,67,0,0,0,0,0,0,0,1888,12,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,91,140,0,0,0,108,382,0,228,0,0,538,1157,0,86,0,219,0,0,60,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,36,0,0,4,0,0,0,0,0,0,0,301,0,0,0,132,0,648,0,38,0,0,199,48,0,0,0,0,124,0,0,290,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,2100,0,0,4013,0,0,0,0,45,0,0,0,0,0,0,209,0,11350,137,0,0,0,0,0,0,20,0,9247,391,0,2990,0,0,17,0,0,38,101,0,0,"Control"
"ERR2730149",0,0,0,221,0,23,0,0,402,137,29,388,0,0,210,0,0,0,0,0,0,0,18,0,787,847,806,0,0,0,0,0,0,0,12,0,0,127,38,0,26,0,0,0,0,0,0,6276,0,1473,0,339,0,0,86,0,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,373,0,0,30,0,364,0,0,0,0,1084,0,0,0,0,0,20,0,0,1429,0,0,305,40,0,0,0,0,0,0,0,0,0,0,70,0,225,0,0,0,2401,0,0,14,16,0,0,0,0,240,0,0,352,0,0,0,40,0,0,0,0,0,0,0,0,5,0,0,0,0,288,0,0,0,504,462,0,0,0,0,1003,883,0,72,0,341,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,117,0,0,0,0,0,0,178,0,0,0,48,0,630,0,0,0,0,461,109,0,0,38,0,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,546,0,28,1227,0,0,0,0,0,0,0,0,0,0,0,0,0,4298,0,0,0,0,0,0,17,55,0,1079,67,0,695,0,0,0,0,0,0,0,0,0,"Control"
"ERR2730150",0,0,0,2473,0,0,0,15,2766,2456,22,165,221,0,589,0,0,0,0,0,0,0,0,0,3349,0,731,0,0,0,0,0,9,0,309,0,0,82,26,0,0,0,0,0,0,0,0,4193,620,102,27,3358,0,0,413,287,0,0,440,0,0,0,14,0,0,0,0,0,0,0,0,0,0,10285,0,0,6,0,390,0,0,0,0,1136,0,0,0,0,0,16,0,496,0,3,0,191,0,0,0,0,0,0,0,0,0,0,53,235,0,6,0,0,0,6304,0,0,117,0,0,0,0,0,33,64,0,2466,0,0,0,52,0,0,0,0,0,0,0,0,20,0,0,0,76,161,0,0,0,820,118,5746,135,0,2,672,538,0,0,505,300,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,26,0,0,0,0,0,0,634,0,0,0,32,0,938,0,29,0,0,87,148,0,0,66,13,742,60,0,579,0,0,0,36,0,0,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1415,0,26,6017,0,35,0,0,82,0,0,0,0,0,0,60,0,2240,57,0,0,0,0,11,0,32,0,1480,132,0,477,0,0,0,0,0,0,403,0,0,"Control"
"ERR2730151",0,0,0,723,0,21,0,0,0,118,0,30,113,0,99,0,0,0,0,0,0,0,0,0,2286,0,454,0,0,0,0,0,0,0,0,0,0,1116,10,0,0,0,0,0,0,0,0,1676,21,727,47,1287,0,0,569,62,0,954,180,0,0,0,18,0,0,0,0,0,479,0,0,0,0,424,0,0,16,0,171,74,0,0,0,342,0,0,0,0,0,17,0,151,49,0,0,149,0,0,0,0,0,0,0,10,0,0,0,21,0,9,0,0,0,5619,0,0,59,76,0,0,0,0,0,148,0,679,0,0,0,33,0,0,0,0,34,0,0,0,0,0,0,0,0,127,0,0,0,208,845,0,90,0,8,443,526,0,137,0,151,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063,0,0,0,0,0,379,0,22,33,0,52,18,9,0,0,0,47,156,0,0,0,0,0,0,0,0,715,0,0,0,0,343,0,0,0,14905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,410,0,0,198,0,0,0,0,0,10,0,0,0,0,0,29,0,3178,483,0,29,0,0,0,0,0,0,2055,148,0,312,0,0,0,0,0,0,203,0,0,"Control"
"ERR2730152",0,0,0,188,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2809,26,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,155,0,255,0,0,80,43,0,773,467,0,0,0,0,0,7,0,0,0,0,0,0,0,0,274,0,0,502,0,13,134,0,0,0,188,0,0,0,0,0,21,0,0,330,0,0,64,7,0,0,0,0,0,0,0,0,0,0,27,0,16,0,0,0,3791,0,0,17,21,0,0,0,0,0,11,0,196,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,51,22,0,0,0,236,259,20,42,0,27,129,3695,0,0,466,121,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,22,0,0,0,17,0,48,0,0,0,0,0,23,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,625,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,51,3054,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,559,18,0,0,0,0,0,0,11,0,205,50,0,101,0,0,0,0,0,0,0,0,0,"Control"
"ERR2730153",0,0,0,1310,0,0,0,0,325,711,17,192,0,0,254,0,0,0,0,0,0,0,0,0,292,6,120,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,660,204,584,0,263,0,0,57,12,0,235,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2070,0,0,540,0,102,85,0,0,0,453,0,0,0,0,0,0,0,0,355,0,0,33,0,0,0,0,0,0,0,0,0,0,0,22,0,42,0,0,0,2551,0,0,34,82,0,0,0,0,0,12,0,161,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,129,24,0,0,0,115,52,0,33,0,0,369,1333,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029,0,0,0,0,0,126,0,13,0,0,0,0,0,0,0,0,68,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,784,0,0,1446,0,0,0,0,4,0,0,0,0,0,0,0,0,2566,0,0,44,0,0,0,0,0,0,423,86,31,235,0,0,0,0,0,27,0,0,0,"Control"
"ERR2730154",0,0,0,436,0,0,0,0,229,8,0,90,0,0,270,0,0,0,0,0,41,0,0,0,3297,101,884,0,0,0,0,0,0,0,0,0,0,25,10,0,0,0,0,0,0,0,0,2202,138,2130,60,1905,0,0,286,140,4663,0,103,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5087,0,34,556,0,337,31,0,0,0,590,0,0,0,0,0,0,0,0,1943,0,0,153,13,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8677,0,0,150,156,0,0,0,0,0,0,0,836,0,0,0,18,0,0,0,0,436,0,0,0,0,65,0,0,177,18,0,0,0,253,239,109,144,0,0,165,921,0,83,143,336,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0,257,0,0,0,29,0,942,0,45,0,0,212,0,0,0,0,0,172,65,0,20,0,0,0,43,0,0,170,0,0,0,1783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1139,522,1735,0,0,644,0,0,0,0,0,0,11,0,0,0,0,0,0,5035,870,0,0,0,0,0,13,0,0,7198,468,0,2917,0,0,0,0,0,490,384,0,0,"Control"
"ERR2730155",0,0,0,81,0,0,21,0,0,31,15,107,0,30,415,0,0,0,0,0,0,0,0,0,1919,37,1069,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,8326,24,0,81,1145,0,0,139,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,130,0,110,100,0,0,7,51,0,0,0,0,0,0,0,407,0,0,0,81,0,0,0,0,0,0,0,9,0,0,0,93,0,10,0,0,0,2540,0,0,0,37,0,0,0,0,126,23,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,184,334,0,0,0,209,143,0,0,0,0,30,928,0,0,0,308,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,286,0,66,0,0,53,28,0,0,0,0,334,245,0,0,0,0,0,28,0,0,2412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1862,0,0,1672,0,0,0,0,8,0,0,0,0,0,0,0,0,4287,261,0,104,0,15,0,0,37,0,2291,288,0,105,0,0,0,0,0,16,151,0,0,"Control"
"ERR2730156",0,0,0,207,0,51,0,0,0,441,0,237,0,0,148,0,0,0,0,0,0,0,14,0,1510,269,12948,0,0,0,0,0,27,0,0,0,0,244,0,0,0,0,0,0,9,0,0,1769,891,1712,251,2605,0,0,114,102,0,0,62,0,0,0,47,0,40,0,0,0,0,0,0,0,0,9319,0,0,0,0,308,45,0,0,0,2212,0,0,0,0,0,28,0,0,781,0,0,224,27,0,0,0,0,0,0,0,0,0,0,46,0,25,0,0,0,4580,0,0,364,240,0,0,0,0,36,45,0,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,296,423,266,221,0,0,175,241,0,0,43,103,0,0,15,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,106,0,0,30,58,0,0,0,0,0,0,312,0,0,0,0,0,955,0,22,25,0,142,35,12,0,675,0,251,0,0,737,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,117,0,0,824,0,0,0,0,0,0,0,0,0,0,0,31,0,12849,0,0,0,0,0,0,39,56,0,14251,139,0,4246,14,0,27,0,0,0,0,0,0,"Control"
"ERR2730157",0,0,0,120,0,0,0,3,20,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,353,0,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,945,323,1328,25,611,0,0,46,21,0,1502,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2216,0,0,341,0,73,139,0,0,0,103,0,0,0,0,0,6,0,0,77,0,0,238,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1398,0,0,37,16,0,0,0,0,0,19,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,20,0,0,0,0,27,0,51,0,21,88,470,0,0,25,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,12,0,0,0,0,0,0,161,0,0,0,38,0,69,0,26,0,0,36,0,0,0,24,0,75,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,65,90,0,0,0,0,0,0,0,0,0,0,0,0,0,1776,45,0,41,0,0,0,0,9,0,2296,57,8,310,0,0,0,0,0,6,15,0,0,"Control"
