"","Sample Name","AD","ASD","Control","PD","Pred","True"
"1","ERR9452445",0.659149984960164,0.0726469464521478,0.192869251675445,0.0753338169122432,"AD","Control"
"2","ERR9452446",0.299755242451086,0.641988043019864,0.0108904158888699,0.0473662986401808,"ASD","Control"
"3","ERR9452447",0.180822037045286,0.299630622941422,0.354956271597624,0.164591068415668,"Control","AD"
"4","ERR9452448",0.109089721803818,0.290115089838489,0.406217954820572,0.194577233537121,"Control","Control"
"5","ERR9452449",0.419126226935196,0.357831860410958,0.0402406456962522,0.182801266957594,"AD","AD"
"6","ERR9452450",0.255107777234112,0.602610119312995,0.0445727248518359,0.097709378601057,"ASD","Control"
"7","ERR9452451",0.262101830174401,0.280723999689816,0.335687496562929,0.121486673572854,"Control","Control"
"8","ERR9452452",0.418367100615427,0.187332534808495,0.240483571241531,0.153816793334547,"AD","AD"
"9","ERR9452453",0.217368317012549,0.605768237099096,0.129100519272198,0.0477629266161563,"ASD","Control"
"10","ERR9452454",0.159785013318711,0.475444543813394,0.286582098097541,0.0781883447703538,"ASD","Control"
"11","ERR9452455",0.0769478454757014,0.532918072137531,0.350224250522961,0.0399098318638069,"ASD","AD"
"12","ERR9452456",0.0834557736519193,0.764001257965026,0.0388303745136543,0.1137125938694,"ASD","Control"
"13","ERR9452457",0.216594317195487,0.0629239914667073,0.390194973733576,0.33028671760423,"Control","Control"
"14","ERR9452458",0.0937098268418491,0.0229324637718249,0.68522659529813,0.198131114088196,"Control","Control"
"15","ERR9452459",0.131178742834096,0.587548657030614,0.133796815295298,0.147475784839991,"ASD","Control"
"16","ERR9452460",0.199683735474218,0.4563621353906,0.296730529906455,0.0472235992287271,"ASD","AD"
"17","ERR9452461",0.354213690866813,0.146803777742642,0.196674939832215,0.30230759155833,"AD","AD"
"18","ERR9452462",0.590691679997525,0.192936808118536,0.0437208277520902,0.172650684131849,"AD","AD"
"19","ERR9452463",0.149833276888421,0.164092128391038,0.660007712302376,0.0260668824181646,"Control","Control"
"20","ERR9452464",0.394914933849643,0.0700508052418987,0.46168804158436,0.0733462193240983,"Control","Control"
"21","ERR9452465",0.115646946648622,0.3798487319828,0.429985497239889,0.0745188241286899,"Control","Control"
"22","ERR9452466",0.433711778880492,0.244214326703545,0.259517924206785,0.0625559702091786,"AD","Control"
